X,Y,States
-24.0,-43.0,Aguascalientes
-228.0,139.0,Baja California
-205.0,72.0,Baja California Sur
198.0,-92.0,Campeche
156.0,-138.0,Chiapas
-80.0,91.0,Chihuahua
-19.0,69.0,Coahuila
-54.0,-105.0,Colima
-64.0,17.0,Durango
-1.0,-62.0,Guanajuato
33.0,-123.0,Guerrero
35.0,-68.0,Hidalgo
-50.0,-72.0,Jalisco
20.0,-90.0,Mexico
33.0,-97.0,Mexico City
-12.0,-96.0,Michoacan
34.0,-108.0,Morelos
-71.0,-45.0,Nayarit
16.0,36.0,Nuevo Leon
82.0,-140.0,Oaxaca
58.0,-110.0,Puebla
21.0,-75.0,Queretaro
232.0,-76.0,Quintana Roo
3.0,-28.0,San Luis Potosi
-114.0,20.0,Sinaloa
-158.0,124.0,Sonora
150.0,-112.0,Tabasco
43.0,3.0,Tamaulipas
50.0,-92.0,Tlaxcala
99.0,-111.0,Veracruz
213.0,-50.0,Yucatan
-28.0,-11.0,Zacatecas
